Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
stash-14,Stash_m14,dice,Roll an extra -14 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-14); } givedice(dice);  status.value = 0;,,,,,,,
stash-15,Stash_m15,dice,Roll an extra -15 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-15); } givedice(dice);  status.value = 0;,,,,,,,
stash-16,Stash_m16,dice,Roll an extra -16 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-16); } givedice(dice);  status.value = 0;,,,,,,,
stash-17,Stash_m17,dice,Roll an extra -17 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-17); } givedice(dice);  status.value = 0;,,,,,,,
stash-18,Stash_m18,dice,Roll an extra -18 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-18); } givedice(dice);  status.value = 0;,,,,,,,
stash-19,Stash_m19,dice,Roll an extra -19 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-19); } givedice(dice);  status.value = 0;,,,,,,,
stash-20,Stash_m20,dice,Roll an extra -20 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-20); } givedice(dice);  status.value = 0;,,,,,,,
stash-21,Stash_m21,dice,Roll an extra -21 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-21); } givedice(dice);  status.value = 0;,,,,,,,
stash-22,Stash_m22,dice,Roll an extra -22 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-22); } givedice(dice);  status.value = 0;,,,,,,,
stash-23,Stash_m23,dice,Roll an extra -23 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-23); } givedice(dice);  status.value = 0;,,,,,,,
stash-24,Stash_m24,dice,Roll an extra -24 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-24); } givedice(dice);  status.value = 0;,,,,,,,
stash-25,Stash_m25,dice,Roll an extra -25 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-25); } givedice(dice);  status.value = 0;,,,,,,,
stash-26,Stash_m26,dice,Roll an extra -26 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-26); } givedice(dice);  status.value = 0;,,,,,,,
stash-27,Stash_m27,dice,Roll an extra -27 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-27); } givedice(dice);  status.value = 0;,,,,,,,
stash-28,Stash_m28,dice,Roll an extra -28 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-28); } givedice(dice);  status.value = 0;,,,,,,,
stash-29,Stash_m29,dice,Roll an extra -29 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-29); } givedice(dice);  status.value = 0;,,,,,,,
stash-30,Stash_m30,dice,Roll an extra -30 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-30); } givedice(dice);  status.value = 0;,,,,,,,
stash-31,Stash_m31,dice,Roll an extra -31 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-31); } givedice(dice);  status.value = 0;,,,,,,,
stash-32,Stash_m32,dice,Roll an extra -32 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-32); } givedice(dice);  status.value = 0;,,,,,,,
stash-33,Stash_m33,dice,Roll an extra -33 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-33); } givedice(dice);  status.value = 0;,,,,,,,
stash-34,Stash_m34,dice,Roll an extra -34 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-34); } givedice(dice);  status.value = 0;,,,,,,,
stash-35,Stash_m35,dice,Roll an extra -35 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-35); } givedice(dice);  status.value = 0;,,,,,,,
stash-36,Stash_m36,dice,Roll an extra -36 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-36); } givedice(dice);  status.value = 0;,,,,,,,
stash-37,Stash_m37,dice,Roll an extra -37 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-37); } givedice(dice);  status.value = 0;,,,,,,,
stash-38,Stash_m38,dice,Roll an extra -38 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-38); } givedice(dice);  status.value = 0;,,,,,,,
stash-39,Stash_m39,dice,Roll an extra -39 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-39); } givedice(dice);  status.value = 0;,,,,,,,
stash-40,Stash_m40,dice,Roll an extra -40 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-40); } givedice(dice);  status.value = 0;,,,,,,,
stash-41,Stash_m41,dice,Roll an extra -41 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-41); } givedice(dice);  status.value = 0;,,,,,,,
stash-42,Stash_m42,dice,Roll an extra -42 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-42); } givedice(dice);  status.value = 0;,,,,,,,
stash-43,Stash_m43,dice,Roll an extra -43 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-43); } givedice(dice);  status.value = 0;,,,,,,,
stash-44,Stash_m44,dice,Roll an extra -44 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-44); } givedice(dice);  status.value = 0;,,,,,,,
stash-45,Stash_m45,dice,Roll an extra -45 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-45); } givedice(dice);  status.value = 0;,,,,,,,
stash-46,Stash_m46,dice,Roll an extra -46 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-46); } givedice(dice);  status.value = 0;,,,,,,,
stash-47,Stash_m47,dice,Roll an extra -47 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-47); } givedice(dice);  status.value = 0;,,,,,,,
stash-48,Stash_m48,dice,Roll an extra -48 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-48); } givedice(dice);  status.value = 0;,,,,,,,
stash-49,Stash_m49,dice,Roll an extra -49 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-49); } givedice(dice);  status.value = 0;,,,,,,,
stash-50,Stash_m50,dice,Roll an extra -50 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-50); } givedice(dice);  status.value = 0;,,,,,,,
fixfakeskillcardafterbattleends,Fix_Fake_Skillcard_After_Battle_Ends,cog,Fixes the fake skillcard to make it so that it goes back into the backpack. Yes[;] it has to be a status[;] because status's onCombatEnd is ran just before equipment is put in your backpack.,NO,NO,NO,YES,NO,,,,,,,,self.equipment[0].skillcard = ~~;,,,
handlecompletelyprepared,Handle_Completely_Prepared,cog,Handles adding Completely Prepared to your hand. Yes[;] it has to be a status[;] otherwise[;] it gets added to your backpack as well.,NO,NO,NO,YES,NO,,,runscript(~christmasspecial/warriorpreperations/beforeturnstart~[;][self]);,,,,,,,,
endurance,Endurance,confuse,You take 25% less damage from all [sword] attacks,NO,NO,NO,NO,NO,status.scriptmodifydamage=~if(dmgtype == \~none\~){return (dmg*0.75);} else return (dmg);~,,,,,,,,,,
anticheat,Anti-Cheat,ncr_error,For every six left at the end of your turn[;]|take [sword]5 piercing damage.,NO,YES,NO,NO,NO,runscript(~christmasspecial/anticheat~[;][0]);,,self.setvar(~badsixes~[;]0); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue == 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue == 6) {sixes += 1;} } }} self.setvar(~badsixes~[;]sixes);,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue == 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue == 6) {sixes += 1;} } }} self.setvar(~badsixes~[;]sixes);,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue == 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue == 6) {sixes += 1;} } }} self.setvar(~badsixes~[;]sixes);,if (self.getvar(~badsixes~) > 0 && target.hp > 0 && !flee) {pierceattackself(5*self.getvar(~badsixes~)); sfxdamage(self[;]5*self.getvar(~badsixes~)); },,,,
combo,Combo,combo,Used for Combo items|At end of turn do +[sword]<value> damage next turn,YES,NO,YES,NO,NO,,,inflictself(~Damageup~[;] getstatusself(~combo~)); sfx(~_fury~);,,,,,,,,
addiction,Addiction,addiction,At the end of your turn[;] take [sword]<value> damage for|every equipment you did not use at least once.,YES,YES,NO,NO,YES,,,,,var unused = 0;  for (eq in self.equipment) {if(eq.timesused == 0 && eq.ready && eq != e && eq.skillcard == ~~) {unused += 1;}} self.setvar(~unusedeq~[;]unused);,,var unusedeq = 0; for (eq in self.equipment) {if(self.equipmenthistory.indexOf(eq) == -1 && eq.skillcard == ~~ && (eq.usedthisbattle && eq.onceperbattle) == false ){unusedeq += 1;}} if (unusedeq > 0 && target.hp > 0 && !flee) {attackself(status.value*unusedeq); sfxdamage(self[;]status.value*unusedeq); } trace(unusedeq);,,,,
phase1,[green]Phase_1,shield,Gains 2 Shield each turn|Minor Damaging items,NO,NO,NO,NO,NO,,,,inflictself(SHIELD[;] 2); sfx(~_shield~);,,,,,,,
phase2,[yellow]Phase_2,dice1,Roll an extra dice on odd turns|Average damage dealing items,NO,NO,NO,NO,NO,,,,if(turn % 2 == 0){ donothing(); } else { givedice(); },,,,,,,
pottedplant,Potted_Plant,mana,Gain [mana]<value> mana each turn.,YES,NO,NO,NO,NO,//this status is currently unused[;] but in case we want to use it it's here,,,inflictself(~mana~|status.value);,,,,,,,
peppershaker,Pepper_Shaker,peppershaker,At the start of your turn[;] reduce|all countdowns in your hand to 1.,NO,NO,NO,NO,NO,//this status only works in jester's second episode for now,,,for(eq in self.equipment) { if (eq.ready && eq.countdown > 0 && eq.shockedsetting == 0) { runscript(~christmasspecial/boostcountdown~[;][self[;]eq[;]Math.round(eq.countdown - (eq.countdown / 2) - 1)]);} },,,,,,,
peppershaker+,Pepper_Shaker+,peppershaker,At the start of your turn[;] activate|all countdowns in your hand.,NO,NO,NO,NO,NO,,,,for(eq in self.equipment) { if (eq.ready && eq.countdown > 0 && eq.shockedsetting == 0) { runscript(~christmasspecial/boostcountdown~[;][self[;]eq[;]-1]); } },,,,,,,
phase3,[red]Phase_3,fury,On odd turns deal [sword]3 damage|On even turns heal [heal]10 health,NO,NO,NO,NO,NO,,,,if(turn % 2 == 0){ attackself(-10); sfx(~_heal~); } else { attack(3); sfxdamage(target[;] 3); },,,,,,,
drunk,Drunk,drunk,All items have a 40% chance to reverse target,NO,YES,NO,NO,NO,runscript(~christmasspecial/drunk~);,,,,,,,,,,
surprisegift,Surprise_Gift,gift,All equipment has a 33% chance to roll you a new dice.|Disappears once triggered.,YES,YES,NO,NO,NO,,,,,if(chance(33)) {givedice(); removestatusself(~surprisegift~[;]1); self.textparticle(~Surprise!~);},,,,,,
wealthyrelatives,Wealthy_Relatives,wealthyrelatives,Gain [gift]5 surprise gifts every turn.,NO,NO,NO,NO,NO,,,,inflictself(~surprisegift~[;] 5); sfx(~_cure~);,,,,,,,
wealthyrelatives+,Wealthy_Relatives+,wealthyrelatives,Gain [gift]5 upgraded surprise gifts every turn.,NO,NO,NO,NO,NO,,,,inflictself(~surprisegift+~[;] 5); sfx(~_cure~);,,,,,,,
surprisegift+,Surprise_Gift+,gift,All equipment has a 50% chance to roll you a new dice.|Disappears once triggered.,YES,YES,NO,NO,NO,,,,,if(chance(50)) {givedice(); removestatusself(~surprisegift+~[;]1); self.textparticle(~Surprise!~);},,,,,,
enemysilence,Silence,silence,Changes random items slots|to a 1-6 dice requirement,YES,YES,NO,NO,NO,,,,var goodeq = []; for(eq in self.equipment){ if(eq.availablethisturn){ goodeq.push(eq); }; }; goodeq = shuffle(goodeq); var s = getstatusself(~enemysilence~); while(goodeq.length > 0 && s > 0){ s-=1; var r = goodeq.pop(); var blah = rand([~REQUIRE1~[;]~REQUIRE2~[;]~REQUIRE3~[;]~REQUIRE4~[;]~REQUIRE5~[;]~REQUIRE6~]); r.changeslots([blah]); r.animate(~silence~); r.addtag(~resetthis~); }; sfx(~_silence~);,,,for(eq in self.equipment){     if(eq.hastag(~resetthis~)) {         eq.resetslots();         eq.removetag(~resetthis~);     } };,,,,
furyring,Fury_Ring,furyring,After doing [sword]6 damage or more[;]|gain [fury]fury if you had no [fury]fury[].,NO,NO,NO,NO,NO,self.setvar(~furyringact~[;] new motion.actuators.SimpleActuator(null[;]1/60[;]null)); self.setvar(~furyringskill~[;]new elements.Skill(~Against all odds_old~)); self.getvar(~furyringskill~).script = ~runscript(\~christmasspecial/furyring\~);~; self.getvar(~furyringact~).onRepeat(self.getvar(~furyringskill~).execute[;][self[;]target]); self.getvar(~furyringact~)._repeat = -1; self.getvar(~furyringact~).move(); ,,,,,,,self.getvar(~furyringact~).stop(); self.resetvar(~furyringact~); self.resetvar(~furyringskill~);,if (dmg >= 6 && self.getvar(~furyringfuried~) == 0){inflictself(~fury~[;]1); sfx(~_fury~);},,self.getvar(~furyringact~).stop(); self.resetvar(~furyringact~); self.resetvar(~furyringskill~);
furyring+,Fury_Ring+,furyring,After doing [sword]5 damage or more[;]|gain [fury]fury if you had no [fury]fury[].,NO,NO,NO,NO,NO,self.setvar(~furyringact~[;] new motion.actuators.SimpleActuator(null[;]1/60[;]null)); self.setvar(~furyringskill~[;]new elements.Skill(~Against all odds_old~)); self.getvar(~furyringskill~).script = ~runscript(\~christmasspecial/furyring\~);~; self.getvar(~furyringact~).onRepeat(self.getvar(~furyringskill~).execute[;][self[;]target]); self.getvar(~furyringact~)._repeat = -1; self.getvar(~furyringact~).move(); ,,,,,,,self.getvar(~furyringact~).stop(); self.resetvar(~furyringact~); self.resetvar(~furyringskill~);,if (dmg >= 5 && self.getvar(~furyringfuried~) == 0){inflictself(~fury~[;]1); sfx(~_fury~);},,self.getvar(~furyringact~).stop(); self.resetvar(~furyringact~); self.resetvar(~furyringskill~);
trustyblade,Trusty_Blade,trusty,Add a normal-slot weapon|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a blade~[;][null[;]getequipmentlist(null[;][~large~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~onceperbattle~[;]~alternateversion~[;]~vanilla~[;]~immunetotide~])[;]null[;]false[;]false])]);,,,,,,,,
trustyblade+,Trusty_Blade+,trusty,Add an upgraded normal-slot weapon|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a blade~[;][null[;]getequipmentlist(null[;][~large~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~onceperbattle~[;]~alternateversion~[;]~vanilla~[;]~immunetotide~])[;]null[;]false[;]false])+~+~]);,,,,,,,,
trustypole,Trusty_Pole,trusty,Add a normal-slot weapon|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a pole~[;][null[;]getequipmentlist(null[;][~large~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~onceperbattle~[;]~alternateversion~[;]~vanilla~[;]~immunetotide~])[;]null[;]false[;]false])]);,,,,,,,,
trustypole+,Trusty_Pole+,trusty,Add an upgraded countdown weapon|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a pole~[;][null[;]getequipmentlist(null[;][~large~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~onceperbattle~[;]~alternateversion~[;]~vanilla~[;]~immunetotide~])[;]null[;]false[;]false])+~+~]);,,,,,,,,
trustymaneuver,Trusty_Maneuver,trusty,Add a dice manipulator|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a maneuver~[;][getequipmentlist(null[;][~small~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~vanilla~[;]~onceperbattle~[;]~alternateversion~[;]~immunetotide~])[;]null[;]null[;]false[;]false])]);,,,,,,,,
trustymaneuver+,Trusty_Maneuver+,trusty,Add an upgraded dice manipulator|to your hand each turn.,NO,NO,NO,NO,NO,,,runscript(~christmasspecial/jester/addequipmenttodeck~|[self|runscript(~christmasspecial/warriorthemes/a maneuver~[;][getequipmentlist(null[;][~small~][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~jesteronly~[;]~inventoronly~[;]~vanilla~[;]~onceperbattle~[;]~alternateversion~[;]~immunetotide~])[;]null[;]null[;]false[;]false])+~+~]);,,,,,,,,
bugfix,Bug_Fix,cog,Reverts to the prev error chance,NO,NO,NO,YES,NO,self.setvar(~bug~[;] self.getvar(~errorchance~));,,self.setvar(~errorchance~[;] self.getvar(~bug~)); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bugfix\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,,
bolts,bolts,dice,able to roll dice again :D,NO,NO,NO,YES,NO,,,,,,,self.setvar(~stop~[;] 0); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bolts\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,self.setvar(~stop~[;] 0); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bolts\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,
alternate_anticheat,Anti-Cheat?,ncr_error,For every dice lower than six left at the end of|your turn[;] take [sword]5 piercing damage.,NO,YES,NO,NO,NO,runscript(~christmasspecial/anticheat~[;][1]);,,self.setvar(~baddice~[;]0); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue < 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue < 6) {sixes += 1;} } }} self.setvar(~baddice~[;]sixes); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue < 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue < 6) {sixes += 1;} } }} self.setvar(~baddice~[;]sixes);,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue < 6){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null && d.basevalue < 6) {sixes += 1;} } }} self.setvar(~baddice~[;]sixes);,if (self.getvar(~baddice~) > 0 && target.hp > 0 && !flee) {pierceattackself(5*self.getvar(~baddice~)); sfxdamage(self[;]5*self.getvar(~baddice~)); },,,,
patchnotes,Patch Notes,dice,(invisible),NO,NO,NO,YES,NO,,,,,,,,self.maxhp +=2; attackself(-2); sfx(~_heal~);,,,
super_anticheat,Anti-Cheat!,ncr_error,For every dice left at the end of|your turn[;] take [sword]5 piercing damage.,NO,YES,NO,NO,NO,runscript(~christmasspecial/anticheat~[;][2]);,,self.setvar(~ultrabaddice~[;]0); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available()){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null ) {sixes += 1;} } }} self.setvar(~ultrabaddice~[;]sixes); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available()){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null ) {sixes += 1;} } }} self.setvar(~ultrabaddice~[;]sixes); ,var sixes = 0; for (mydice in self.dicepool){ if (mydice.available()){ sixes += 1; } } for (e in self.equipment) {if(e.ready) {for (d in e.assigneddice) {if (d != null ) {sixes += 1;} } }} self.setvar(~ultrabaddice~[;]sixes); ,if (self.getvar(~ultrabaddice~) > 0 && target.hp > 0 && !flee) {pierceattackself(5*self.getvar(~ultrabaddice~)); sfxdamage(self[;]5*self.getvar(~ultrabaddice~)); },,,,
extradamage_singleturn,Extra,sword,Do [sword]<value> extra damage with each attack this turn.,YES,YES,NO,NO,NO,Rules.bonusdamage = status.value;,,,,,,Rules.bonusdamage = 0;,,,,
berserk,Berserk,berserk,All damage you inflict is doubled until the end of the turn.,YES,NO,NO,NO,NO,inflict(~realberserk~); ,,,inflict(~realberserk~); ,,,var berserk = self.getstatus(~berserk~); berserk.value--; berserk._displayvalue = berserk.value; if(berserk.value <=0) berserk.cleanup = true;,,,,
realberserk,Berserk,berserk,Should not appear.,NO,YES,YES,YES,NO,status.scriptmodifydamage = ~return (dmg * 2);~;,,status.scriptmodifydamage = ~~;,,,,status.scriptmodifydamage = ~~;,status.scriptmodifydamage = ~~;,,,
mariah2logic,Mariah_2_Logic,cog,Does the logic for Mariah Carey Episode 2,NO,NO,NO,YES,NO,,,,,runscript(~christmasspecial/mariahflipping/flipcard~[;][e]);,,,,,,
